Driver,AvgLapTime_sec,Race,Team
ALB,98.746461538,Pre-Season Testing,Williams
SAR,98.857115384,Pre-Season Testing,Williams
ALB,100.465087719,Bahrain Grand Prix,Williams
SAR,100.676285714,Bahrain Grand Prix,Williams
ALB,100.94432,Saudi Arabian Grand Prix,Williams
SAR,99.22374,Saudi Arabian Grand Prix,Williams
ALB,102.9735,Australian Grand Prix,Williams
SAR,88.215843137,Australian Grand Prix,Williams
ALB,110.805078431,Azerbaijan Grand Prix,Williams
SAR,110.17868,Azerbaijan Grand Prix,Williams
ALB,93.528105263,Miami Grand Prix,Williams
SAR,94.511232142,Miami Grand Prix,Williams
ALB,85.859610389,Monaco Grand Prix,Williams
SAR,86.907407894,Monaco Grand Prix,Williams
ALB,81.625353846,Spanish Grand Prix,Williams
SAR,81.994107692,Spanish Grand Prix,Williams
ALB,81.416585714,Canadian Grand Prix,Williams
SAR,81.678666666,Canadian Grand Prix,Williams
ALB,73.286957746,Austrian Grand Prix,Williams
SAR,73.5713,Austrian Grand Prix,Williams
ALB,98.746461538,British Grand Prix,Williams
SAR,98.857115384,British Grand Prix,Williams
ALB,85.764072463,Hungarian Grand Prix,Williams
SAR,86.406328358,Hungarian Grand Prix,Williams
ALB,114.696227272,Belgian Grand Prix,Williams
SAR,114.884681818,Belgian Grand Prix,Williams
ALB,84.988514285,Dutch Grand Prix,Williams
SAR,93.030571428,Dutch Grand Prix,Williams
ALB,87.573509803,Italian Grand Prix,Williams
SAR,88.12498,Italian Grand Prix,Williams
ALB,102.392816666,Singapore Grand Prix,Williams
SAR,102.33605,Singapore Grand Prix,Williams
ALB,105.336782608,Japanese Grand Prix,Williams
SAR,108.365210526,Japanese Grand Prix,Williams
ALB,93.687403508,Qatar Grand Prix,Williams
SAR,96.70515,Qatar Grand Prix,Williams
ALB,103.626357142,United States Grand Prix,Williams
SAR,103.738571428,United States Grand Prix,Williams
ALB,85.640768115,Mexico City Grand Prix,Williams
SAR,86.995884057,Mexico City Grand Prix,Williams
ALB,,São Paulo Grand Prix,Williams
SAR,79.466057971,São Paulo Grand Prix,Williams
ALB,101.280777777,Las Vegas Grand Prix,Williams
SAR,101.578311111,Las Vegas Grand Prix,Williams
ALB,91.307034482,Abu Dhabi Grand Prix,Williams
SAR,91.55887931,Abu Dhabi Grand Prix,Williams
